Wall time,Step,Value
1763176888.4449475,28695,-50.2908935546875
1763176907.18508,28823,-48.892189025878906
1763176912.9269617,28860,-36.983787536621094
1763176919.083322,28898,-33.00271987915039
1763176925.344168,28939,-31.927274703979492
1763176927.7605994,28956,-38.00250244140625
1763176968.016235,29225,-47.830074310302734
1763177002.523435,29457,-43.99348068237305
1763177035.3885565,29675,-37.541954040527344
1763177042.2679336,29720,-37.870079040527344
1763177044.5996978,29736,-39.568443298339844
1763177050.593041,29779,-52.25394821166992
1763177053.4983218,29800,-57.745601654052734
1763177101.7700052,30126,-36.81378173828125
1763177114.244263,30213,-43.534523010253906
1763177121.7497408,30265,-52.34926223754883
1763177131.8306277,30337,-58.535518646240234
1763177136.5709682,30371,-58.86370086669922
1763177145.8142874,30434,-45.76831817626953
1763177154.8740726,30496,-44.83119583129883
1763177163.6171002,30554,-44.7529182434082
1763177221.9355044,30954,-49.66425704956055
1763177223.9111912,30967,-40.05658721923828
1763177250.0308456,31150,-50.450592041015625
1763177270.1684315,31292,-63.03807830810547
1763177272.5250187,31309,-67.01795196533203
1763177280.008274,31361,-65.01934814453125
1763177284.854805,31395,-59.85954284667969
1763177308.5379076,31558,-50.7022590637207
1763177325.8665802,31678,-49.50677490234375
1763177363.7391818,31941,-49.40221405029297
1763177365.6840816,31953,-39.73357391357422
1763177372.6639946,31998,-42.779972076416016
1763177426.952871,32361,-40.19917297363281
1763177429.1468406,32375,-38.47091293334961
1763177433.409895,32403,-36.13979721069336
1763177449.7329257,32515,-37.918697357177734
1763177464.9068494,32616,-36.82246780395508
1763177467.5514169,32635,-39.13103485107422
1763177489.0289621,32783,-48.26090621948242
1763177499.8045812,32860,-59.835540771484375
1763177504.6832757,32894,-58.464271545410156
1763177515.7309608,32974,-55.14930725097656
1763177537.452687,33127,-52.58797073364258
1763177555.33676,33252,-44.013607025146484
1763177558.3013048,33273,-49.14902877807617
1763177570.4440153,33355,-51.72380447387695
1763177590.0079513,33486,-46.29789733886719
1763177612.648362,33644,-55.347930908203125
1763177615.0754433,33661,-53.81781768798828
1763177623.8354237,33719,-41.3121223449707
1763177635.8938909,33806,-49.127105712890625
1763177641.989116,33846,-40.96417236328125
1763177646.7827048,33880,-43.12578582763672
1763177653.3667643,33925,-41.663917541503906
1763177660.2972274,33973,-46.968631744384766
1763177669.992762,34040,-44.64823532104492
1763177688.7252405,34169,-46.115806579589844
1763177707.580031,34300,-45.277095794677734
1763177717.4946969,34369,-51.23373794555664
1763177725.3028033,34424,-54.1683464050293
1763177741.934796,34538,-42.56377029418945
1763177764.7727907,34700,-51.10464859008789
1763177774.2469122,34767,-47.54893493652344
1763177776.60729,34784,-46.0301513671875
1763177779.1422925,34802,-45.46455383300781
1763177783.9292831,34835,-47.701904296875
1763177789.8421032,34872,-36.7597541809082
1763177806.2881799,34983,-44.56918716430664
1763177828.3742383,35139,-43.74629592895508
1763177852.8721244,35310,-43.52627944946289
1763177861.5427701,35367,-38.68730926513672
1763177866.1136076,35397,-31.246667861938477
1763177872.9169178,35445,-40.44091796875
1763177883.7116735,35521,-36.91708755493164
1763177890.7708178,35568,-35.6091423034668
1763177893.023812,35582,-33.846317291259766
1763177895.6530569,35600,-32.894866943359375
1763177906.5343163,35674,-40.22660827636719
1763177937.6904895,35883,-34.80958557128906
1763177959.0284588,36030,-41.054630279541016
1763177973.3623474,36131,-45.644325256347656
1763177990.7330363,36253,-42.9698486328125
1763177992.7593856,36266,-35.36978530883789
1763178013.591701,36411,-48.814205169677734
1763178030.4036407,36525,-35.813236236572266
1763178056.696607,36699,-31.219951629638672
1763178078.745664,36850,-43.65278625488281
1763178088.319559,36915,-44.86669921875
1763178113.1199303,37084,-44.01246643066406
1763178115.5290074,37101,-43.30131149291992
1763178122.0575864,37145,-33.7028923034668
1763178133.8715255,37228,-34.61143112182617
1763178143.306404,37292,-40.182777404785156
1763178172.8698123,37494,-39.01165008544922
1763178179.4626641,37538,-37.116859436035156
1763178194.010169,37640,-46.32058334350586
1763178195.8349893,37652,-43.96776580810547
1763178197.721738,37664,-41.564815521240234
1763178274.4838402,38187,-31.812347412109375
1763178288.657059,38283,-41.63666534423828
1763178307.5435603,38418,-55.334407806396484
1763178321.904394,38519,-40.721073150634766
1763178330.9583178,38580,-29.544160842895508
1763178335.4691975,38611,-32.8716926574707
1763178339.7575245,38640,-35.13328170776367
1763178353.5344234,38733,-35.10995101928711
1763178361.328137,38789,-39.3069953918457
1763178366.3156214,38823,-45.71543884277344
1763178373.157346,38868,-43.42285919189453
1763178380.7533207,38921,-45.205806732177734
1763178406.5891683,39091,-26.820783615112305
1763178411.0188403,39121,-31.706424713134766
1763178437.7454743,39301,-27.178485870361328
1763178439.9318173,39316,-23.092519760131836
1763178441.741826,39327,-24.38783836364746
1763178473.609588,39544,-43.938812255859375
1763178481.7813709,39598,-31.23911476135254
1763178490.2042778,39653,-27.920230865478516
1763178498.8458269,39710,-27.466360092163086
1763178508.105098,39773,-31.684843063354492
1763178517.5478575,39835,-34.68166732788086
1763178535.2357233,39956,-30.8803653717041
1763178539.5957067,39986,-31.946428298950195
1763178546.5596793,40032,-33.8710823059082
1763178554.3491235,40086,-36.99855422973633
1763178560.8904755,40130,-33.239524841308594
1763178573.1660752,40214,-36.444095611572266
1763178616.3157737,40505,-35.44109344482422
1763178643.7681787,40688,-31.535877227783203
1763178645.7630873,40701,-32.28927993774414
1763178653.7208,40756,-40.44247817993164
1763178655.5989583,40766,-36.788246154785156
1763178660.9189975,40804,-39.912803649902344
1763178665.9511542,40839,-42.52334976196289
1763178675.9119635,40907,-48.45143127441406
1763178686.3262796,40978,-42.503273010253906
1763178697.700011,41056,-43.63032150268555
1763178702.6270325,41089,-42.220237731933594
1763178720.130863,41211,-44.539283752441406
1763178736.9655826,41322,-21.909282684326172
1763178746.167967,41386,-34.53131866455078
1763178760.4124777,41479,-24.548965454101562
1763178763.1099455,41498,-28.509157180786133
1763178798.6461506,41739,-44.36553955078125
1763178805.777722,41789,-44.55075454711914
1763178812.5453353,41835,-41.597984313964844
1763178814.558871,41848,-38.871253967285156
1763178824.1826456,41914,-41.64128875732422
1763178829.051871,41948,-35.41441345214844
1763178839.9761994,42022,-27.39556312561035
1763178859.586844,42154,-32.64552688598633
1763178868.8891282,42217,-31.110126495361328
1763178873.8066285,42251,-34.223934173583984
1763178878.3623083,42282,-38.356666564941406
1763178886.9847307,42338,-28.832521438598633
1763178909.989255,42499,-43.617469787597656
1763178914.7620566,42533,-38.608482360839844
1763178919.1752982,42563,-40.473934173583984
1763178922.339653,42587,-44.60247039794922
1763178932.8456094,42661,-54.09062957763672
1763178939.3328855,42703,-39.505531311035156
1763178957.196927,42823,-36.737892150878906
1763178966.4494052,42886,-36.18867111206055
1763178997.885661,43094,-32.06425857543945
1763179007.0179944,43156,-33.88909149169922
1763179011.6007006,43187,-29.478099822998047
1763179024.0063488,43273,-33.8038444519043
1763179026.1123698,43287,-32.04368209838867
